card_id,figure_id,buy_id,package_id,figure_type,country,mainname,last_name,player_position,birth,weight,height,amount_doubles
475,KOR_08,13,5,player,Korea Republic,Young-gwon,Kim,defense,1990-02-27,83.0,1.86,0
477,FWC_18,13,6,official match ball,,Al Rihla,,,,,,0
478,FWC_04,13,6,content,,Official mascot,,,,,,0
479,FWC_14,13,6,stadium,,Al Bayt outdoor,,,,,,0
484,POR_06,13,7,player,Portugal,José,Fonte,defense,1983-12-22,81.0,1.91,0
487,BRA_01,13,8,squad,Brazil,Team shot,,,,,,0
489,ESP_19,13,8,player,Spain,Álvaro,Morata,attack,1992-10-23,82.0,1.89,0
490,CRO_13,13,8,player,Croatia,Luka,Modrić,middle,1985-09-09,66.0,1.72,0
491,FRA_06,13,8,player,France,Theo,Hernández,defense,1997-10-06,81.0,1.84,0
494,GER_05,13,9,player,Germany,Matthias,Ginter,defense,1994-01-19,83.0,1.88,0
496,NED_19,13,9,player,Netherlands,Cody,Gakpo,attack,1999-05-07,76.0,1.89,0
497,BEL_05,13,10,player,Belgium,Toby,Alderweireld,defense,1989-03-02,81.0,1.86,0
498,POR_18,13,10,player,Portugal,Cristiano,Ronaldo,attack,1985-02-05,83.0,1.87,0
499,ENG_13,13,10,player,England,Jordan,Henderson,middle,1990-06-17,67.0,1.82,0
